# profile_scope=balance_run
# profile_run_start_uptime_ms=378934
# prof_imu_max_us=1116
# prof_ctl_max_us=81524
# prof_disp_max_us=9740
# prof_ws_max_us=12
# prof_tel_max_us=223
# prof_crsf_max_us=537
# prof_can_max_us=296
# prof_bal_max_us=1195
# prof_adrv_max_us=1846
# prof_loopgap_max_us=13487
# prof_ctlgap_max_us=5390
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=31
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=2
# sample_size_bytes=220
# sample_count=1203
# checksum=0x29CB8EA4
# checksum_valid=1
# build_date=Sep 14 2026
# build_time=23:18:29
# run_start_uptime_ms=378934
# run_end_uptime_ms=403110
# run_duration_ms=24176
# end_reason=drive disarmed
# test_note=early-wheel-recovery-v1
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=2.4380
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0xA2EED9A2
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms
405,20,5005,4,0,1,0,0,0,2.556,20.859,1.948,23.865,1.0201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.050,-0.037,-0.049,-0.005,135,15,4.181,3.731,4.233,3.830,0.624,0.526,0.338,1.819,0.0938,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.32,5
425,20,5004,4,0,1,0,0,0,3.044,21.822,3.398,24.658,0.9887,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.008,-0.037,-0.053,-0.005,15,35,4.195,3.743,4.247,3.844,0.713,0.547,0.313,1.718,0.0994,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.32,5
445,20,5004,4,0,1,0,0,0,3.530,22.555,3.188,24.292,0.9791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.008,-0.037,-0.053,-0.005,35,55,4.209,3.756,4.261,3.858,0.601,0.588,0.053,1.689,0.1049,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.32,5
465,20,5004,4,0,1,0,0,0,4.020,23.081,4.414,24.780,0.9961,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.008,-0.037,-0.053,-0.005,55,75,4.223,3.768,4.275,3.872,0.670,0.634,0.212,1.746,0.1108,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.32,5
485,20,5004,4,0,1,0,0,0,4.508,23.468,4.212,24.414,0.9773,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.008,-0.037,-0.053,-0.005,75,95,4.237,3.781,4.289,3.886,0.760,0.650,0.385,1.716,0.1164,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.32,4
505,20,5002,4,0,1,0,0,0,4.991,23.697,4.832,24.475,0.9884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.008,-0.037,-0.053,-0.005,95,115,4.251,3.794,4.303,3.900,0.678,0.654,0.060,1.661,0.1221,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.32,5
525,20,5004,4,0,1,0,0,0,5.610,24.075,5.448,25.269,1.0004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.008,-0.037,-0.053,-0.005,115,135,4.265,3.806,4.317,3.914,0.697,0.671,0.148,1.675,0.1279,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,1.94,4
545,20,5002,4,0,1,0,0,0,6.101,24.376,5.352,25.391,0.9816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.932,-0.095,-0.056,-0.053,-0.010,16,16,4.280,3.819,4.331,3.928,0.695,0.656,0.323,1.825,0.1339,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,1.94,5
565,20,5004,4,0,1,0,0,0,6.593,24.568,6.647,25.024,0.9829,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,-0.095,-0.056,-0.053,-0.019,36,16,4.293,3.832,4.345,3.942,0.664,0.693,0.181,1.663,0.1394,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,1.94,5
585,20,5002,4,0,1,0,0,0,7.108,25.119,5.554,27.100,1.0193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,-0.010,-0.056,-0.050,-0.019,16,36,4.308,3.845,4.359,3.956,0.659,0.667,0.092,1.668,0.1454,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,1.94,5
