[Balance] --- Log dump (53244 bytes, 580 samples) ---
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,integral,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
2040,1,42.68,16.45,88.50,0.00,0.00,-5.000,5.88,11.76,-0.02,-0.04,5.30,4.65,0.00,0.00,1.47,0
2058,1,43.00,16.42,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.31,4.66,0.00,0.00,1.47,0
2080,1,43.34,16.52,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.32,4.67,0.00,0.00,1.47,0
2098,1,43.68,16.37,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.34,4.68,0.00,0.00,1.47,0
2120,1,44.01,16.18,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.35,4.68,0.00,0.00,1.47,0
2137,1,44.24,15.97,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.36,4.69,0.00,0.00,1.47,0
2160,1,44.64,15.86,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.37,4.70,0.00,0.00,1.47,0
2178,1,44.96,15.87,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.38,4.70,0.00,0.00,1.47,0
2200,1,45.29,15.88,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,0.04,5.39,4.71,0.00,0.00,1.47,0
2218,1,45.61,15.78,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.04,5.40,4.72,0.00,0.00,1.47,0
2240,1,45.93,15.59,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.04,5.41,4.72,0.00,0.00,1.47,0
2257,1,46.16,15.34,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.04,5.42,4.73,0.00,0.00,1.47,0
2280,1,46.54,15.06,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.04,5.43,4.74,0.00,0.00,1.47,0
2298,1,46.83,14.93,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.04,5.44,4.74,0.00,0.00,1.47,0
2320,1,47.14,14.90,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.04,5.45,4.75,0.00,0.00,1.47,0
2338,1,47.44,14.96,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.04,5.46,4.76,0.00,0.00,1.47,0
2360,1,47.76,14.98,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.01,5.47,4.76,0.00,0.00,1.47,0
2378,1,48.06,14.87,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.01,5.49,4.77,0.00,0.00,1.47,0
2399,1,48.36,14.78,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.01,5.49,4.77,0.00,0.00,1.47,0
2418,1,48.65,14.60,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.01,5.50,4.78,0.00,0.00,1.47,0
2440,1,48.95,14.50,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.01,5.51,4.79,0.00,0.00,1.47,0
2458,1,49.23,14.34,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.01,5.53,4.79,0.00,0.00,1.47,0
2480,1,49.52,14.27,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.01,5.53,4.80,0.00,0.00,1.47,0
2498,1,49.81,14.03,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.01,5.54,4.80,0.00,0.00,1.47,0
2518,1,50.10,13.92,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.03,5.55,4.81,0.00,0.00,1.47,0
2538,1,50.37,13.59,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.56,4.82,0.00,0.00,1.47,0
2560,1,50.62,13.41,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.57,4.82,0.00,0.00,1.47,0
2578,1,50.89,13.34,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.58,4.83,0.00,0.00,1.47,0
2600,1,51.16,13.42,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.59,4.83,0.00,0.00,1.47,0
2618,1,51.44,13.50,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.60,4.84,0.00,0.00,1.47,0
2640,1,51.73,13.58,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.61,4.84,0.00,0.00,1.47,0
2657,1,51.94,13.68,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.62,4.85,0.00,0.00,1.47,0
2680,1,52.30,13.59,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.62,4.85,0.00,0.00,1.47,0
2698,1,52.56,13.21,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.63,4.86,0.00,0.00,1.47,0
2720,1,52.81,12.91,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.64,4.86,0.00,0.00,1.47,0
2738,1,53.06,12.67,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.65,4.87,0.00,0.00,1.47,0
2760,1,53.31,12.68,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.66,4.88,0.00,0.00,1.47,0
2777,1,53.51,12.87,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.67,4.88,0.00,0.00,1.47,0
2800,1,53.86,13.19,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.67,4.89,0.00,0.00,1.47,0
2818,1,54.15,13.28,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.03,5.68,4.89,0.00,0.00,1.47,0
2840,1,54.43,13.18,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,-0.00,5.69,4.90,0.00,0.00,1.47,0
2858,1,54.68,12.67,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.00,5.70,4.90,0.00,0.00,1.47,0
2880,1,54.91,12.19,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.00,5.71,4.91,0.00,0.00,1.47,0
2897,1,55.08,11.79,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.00,5.72,4.91,0.00,0.00,1.47,0
2920,1,55.35,11.50,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.00,5.72,4.92,0.00,0.00,1.47,0
2938,1,55.58,11.51,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.00,5.73,4.92,0.00,0.00,1.47,0
2960,1,55.82,11.63,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.00,5.74,4.92,0.00,0.00,1.47,0
2978,1,56.07,11.90,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.00,5.75,4.93,0.00,0.00,1.47,0
3000,1,56.33,12.09,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.05,5.75,4.93,0.00,0.00,1.47,0
3018,1,56.59,12.15,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.05,5.76,4.94,0.00,0.00,1.47,0
3038,1,56.84,12.09,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.05,5.77,4.94,0.00,0.00,1.47,0
3058,1,57.08,11.75,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.05,5.77,4.95,0.00,0.00,1.47,0
3080,1,57.30,11.41,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.05,5.78,4.95,0.00,0.00,1.47,0
3098,1,57.51,11.02,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.05,5.79,4.96,0.00,0.00,1.47,0
3120,1,57.72,10.91,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.05,5.80,4.96,0.00,0.00,1.47,0
3138,1,57.95,11.04,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.05,5.80,4.97,0.00,0.00,1.47,0
3158,1,58.17,11.16,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.05,5.81,4.97,0.00,0.00,1.47,0
3178,1,58.41,11.36,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.05,5.82,4.97,0.00,0.00,1.47,0
3200,1,58.65,11.24,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.05,5.82,4.98,0.00,0.00,1.47,0
3218,1,58.87,10.92,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.05,5.83,4.98,0.00,0.00,1.47,0
3240,1,59.08,10.74,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.05,5.84,4.99,0.00,0.00,1.47,0
3258,1,59.29,10.51,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.05,5.85,4.99,0.00,0.00,1.47,0
3280,1,59.49,10.36,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.05,5.85,4.99,0.00,0.00,1.47,0
3298,1,59.70,10.38,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,0.05,5.86,5.00,0.00,0.00,1.47,0
3320,1,59.92,10.44,88.50,0.00,0.00,-5.000,5.88,11.76,0.03,-0.01,5.86,5.00,0.00,0.00,1.47,0
3338,1,60.13,10.50,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,-0.01,5.87,5.01,0.00,0.00,1.47,0
3360,1,60.36,10.69,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,-0.01,5.88,5.01,0.00,0.00,1.47,0
3378,1,60.58,10.73,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,-0.01,5.88,5.02,0.00,0.00,1.47,0
3400,1,60.80,10.81,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,-0.01,5.89,5.02,0.00,0.00,1.47,0
3417,1,60.97,10.77,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,-0.01,5.90,5.02,0.00,0.00,1.47,0
3440,1,61.24,10.44,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,-0.01,5.90,5.03,0.00,0.00,1.47,0
3458,1,61.43,9.94,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,-0.01,5.91,5.03,0.00,0.00,1.47,0
3480,1,61.61,9.59,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.02,5.91,5.03,0.00,0.00,1.47,0
3498,1,61.78,9.04,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.02,5.92,5.04,0.00,0.00,1.47,0
3519,1,61.95,8.89,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.02,5.92,5.04,0.00,0.00,1.47,0
3538,1,62.11,8.93,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.02,5.93,5.04,0.00,0.00,1.47,0
3560,1,62.30,9.16,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.02,5.94,5.05,0.00,0.00,1.47,0
3578,1,62.51,9.57,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.02,5.94,5.05,0.00,0.00,1.47,0
3600,1,62.74,10.00,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.02,5.95,5.05,0.00,0.00,1.47,0
3618,1,62.96,10.21,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,0.02,5.95,5.06,0.00,0.00,1.47,0
3640,1,63.18,10.22,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.00,5.96,5.06,0.00,0.00,1.47,0
3658,1,63.39,10.07,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.00,5.96,5.07,0.00,0.00,1.47,0
3678,1,63.59,9.75,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.00,5.97,5.07,0.00,0.00,1.47,0
3699,1,63.76,9.32,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.00,5.98,5.07,0.00,0.00,1.47,0
3718,1,63.93,8.89,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.00,5.98,5.08,0.00,0.00,1.47,0
3738,1,64.09,8.52,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.00,5.99,5.08,0.00,0.00,1.47,0
3760,1,64.24,8.14,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.00,5.99,5.08,0.00,0.00,1.47,0
3778,1,64.39,7.92,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.00,6.00,5.08,0.00,0.00,1.47,0
3799,1,64.54,7.89,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.04,6.00,5.09,0.00,0.00,1.47,0
3818,1,64.71,8.09,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.04,6.01,5.09,0.00,0.00,1.47,0
3840,1,64.89,8.39,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.04,6.01,5.09,0.00,0.00,1.47,0
3858,1,65.09,8.79,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.04,6.02,5.10,0.00,0.00,1.47,0
3880,1,65.29,9.19,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.04,6.02,5.10,0.00,0.00,1.47,0
3898,1,65.49,9.38,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.04,6.03,5.10,0.00,0.00,1.47,0
3920,1,65.70,9.49,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.04,6.03,5.11,0.00,0.00,1.47,0
3937,1,65.84,9.28,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.04,6.04,5.11,0.00,0.00,1.47,0
3960,1,66.06,8.82,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,0.02,6.04,5.11,0.00,0.00,1.47,0
