# profile_scope=live
# profile_run_start_uptime_ms=0
# prof_imu_max_us=1127
# prof_ctl_max_us=749
# prof_disp_max_us=50598
# prof_ws_max_us=22
# prof_tel_max_us=317
# prof_crsf_max_us=503
# prof_can_max_us=361
# prof_bal_max_us=118
# prof_adrv_max_us=22
# prof_loopgap_max_us=53136
# prof_ctlgap_max_us=44494
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=127
# standing_drive=ch1_ch2_velocity_feedforward_v1
# standing_drive_limits=velocity_rad_s:1 turn_rad_s:0.5 accel:0.5 decel:0.75 turn_accel:0.75
# standing_drive_gates=deadband:0.06 neutral_calm_ms:400 stop_calm_ms:400 rc_fresh_ms:100
# standing_drive_flags=ready:1 moving_or_braking:2 turning:4 fresh_input:8
# startup_recoil=confirmed_unwind_v1
# startup_recoil_multiplier=2 enter_rad_s=0.35 exit_rad_s=0.15 confirm_ms=60 blend_ms=120
# startup_recoil_active_flag=0x01
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=3
# sample_size_bytes=236
# sample_count=2881
# checksum=0x90FA4B79
# checksum_valid=1
# build_date=Sep 19 2026
# build_time=15:41:55
# run_start_uptime_ms=61344
# run_end_uptime_ms=118949
# run_duration_ms=57605
# end_reason=arms disarmed
# test_note=standing-drive-v1
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=3.5725
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0xED14696F
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms,pilot_forward,pilot_steering,pilot_turn,pilot_flags
404,20,5004,4,0,1,0,0,0,2.761,21.545,2.224,23.926,1.0066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.028,-0.039,-0.007,-0.008,116,136,4.173,3.733,4.224,3.831,0.754,0.611,0.064,1.794,0.0942,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.29,5,0.0000,0.0000,0.0000,0
424,20,5007,4,0,1,0,0,0,3.224,22.077,3.059,23.010,0.9746,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.028,-0.039,-0.007,-0.008,136,156,4.187,3.745,4.238,3.845,0.702,0.543,0.338,1.702,0.0996,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.29,5,0.0000,0.0000,0.0000,0
444,20,5004,4,0,1,0,0,0,3.698,22.576,3.616,23.865,0.9910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.028,0.007,-0.007,-0.006,156,16,4.201,3.757,4.252,3.859,0.782,0.631,0.198,1.704,0.1053,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.29,5,0.0000,0.0000,0.0000,0
464,20,5004,4,0,1,0,0,0,4.173,22.930,3.814,23.987,0.9983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.033,0.007,-0.003,-0.006,16,36,4.215,3.771,4.266,3.873,0.730,0.688,0.031,1.611,0.1110,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.29,5,0.0000,0.0000,0.0000,0
484,20,5001,4,0,1,0,0,0,4.666,23.521,4.298,24.963,0.9904,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.033,0.007,-0.003,-0.006,36,56,4.229,3.782,4.280,3.887,0.711,0.604,0.333,1.800,0.1166,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.29,5,0.0000,0.0000,0.0000,0
504,20,5004,4,0,1,0,0,0,5.152,23.889,4.495,24.902,0.9874,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.033,0.007,-0.003,-0.006,56,76,4.242,3.795,4.294,3.901,0.657,0.658,0.218,1.619,0.1223,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.29,5,0.0000,0.0000,0.0000,0
524,20,5004,4,0,1,0,0,0,5.663,24.176,6.755,24.902,0.9861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.033,0.007,-0.003,-0.006,76,96,4.256,3.808,4.308,3.915,0.751,0.645,0.096,1.660,0.1279,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.29,5,0.0000,0.0000,0.0000,0
544,20,5004,4,0,1,0,0,0,6.169,24.528,5.719,25.696,0.9972,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,0.004,0.079,-0.007,-0.016,16,16,4.271,3.821,4.322,3.929,0.695,0.696,0.239,1.787,0.1339,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.29,5,0.0000,0.0000,0.0000,0
564,20,5004,4,0,1,0,0,0,6.677,24.929,5.760,26.306,0.9950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,0.004,0.079,-0.007,-0.016,36,36,4.285,3.834,4.336,3.943,0.753,0.644,0.248,1.701,0.1396,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.23,5,0.0000,0.0000,0.0000,0
584,20,5004,4,0,1,0,0,0,6.677,24.929,5.760,26.306,0.9950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,0.004,0.079,-0.007,-0.016,56,56,4.298,3.847,4.350,3.957,0.787,0.739,0.055,1.609,0.1454,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.23,19,0.0000,0.0000,0.0000,0
