time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,supported,wheel_rad_s
21.86,19.410831474235977,-6.650137107816569,-0.6927057752628082,0.6927057752628082,-0.678439199924469,0.678439199924469,0.705332903871414,-0.705332903871414,3,1.0,0
21.88,19.277826085322292,-6.648589930718118,-0.6895057806987518,0.6895057806987518,-0.6752392053604126,0.6752392053604126,0.705332903871414,-0.705332903871414,3,1.0,0
21.900000000000002,19.144851531051565,-6.647052695943465,-0.6863057861346954,0.6863057861346954,-0.6720392107963562,0.6720392107963562,0.705332903871414,-0.705332903871414,3,1.0,0
21.92,19.011907612823183,-6.645525379031397,-0.683105791570639,0.683105791570639,-0.6688392162322998,0.6688392162322998,0.705332903871414,-0.705332903871414,3,1.0,0
21.94,18.878994132523655,-6.644007955712797,-0.6799057970065826,0.6799057970065826,-0.6656392216682434,0.6656392216682434,0.705332903871414,-0.705332903871414,3,1.0,0
21.96,18.746110892522793,-6.642500401909735,-0.6767058024425262,0.6767058024425262,-0.662439227104187,0.662439227104187,0.705332903871414,-0.705332903871414,3,1.0,0
21.98,18.6132576956699,-6.641002693734698,-0.6735058078784698,0.6735058078784698,-0.6592392325401306,0.6592392325401306,0.705332903871414,-0.705332903871414,3,1.0,0
22.0,18.480434345289968,-6.639514807489761,-0.6703058133144134,0.6703058133144134,-0.6560392379760742,0.6560392379760742,0.705332903871414,-0.705332903871414,3,1.0,0
22.02,18.34764064517986,-6.63803671966569,-0.667105818750357,0.667105818750357,-0.6528392434120178,0.6528392434120178,0.705332903871414,-0.705332903871414,3,1.0,0
22.04,18.21487639960461,-6.636568406941138,-0.6639058241863006,0.6639058241863006,-0.6496392488479614,0.6496392488479614,0.705332903871414,-0.705332903871414,3,1.0,0
22.06,18.082141413293616,-6.635109846181895,-0.6607058296222442,0.6607058296222442,-0.646439254283905,0.646439254283905,0.705332903871414,-0.705332903871414,3,1.0,0
22.080000000000002,17.949435491436944,-6.633661014440015,-0.6575058350581878,0.6575058350581878,-0.6432392597198486,0.6432392597198486,0.705332903871414,-0.705332903871414,3,1.0,0
22.1,17.816758439681582,-6.632221888953023,-0.6543058404941314,0.6543058404941314,-0.6400392651557922,0.6400392651557922,0.705332903871414,-0.705332903871414,3,1.0,0
22.12,17.684110064127758,-6.6307924471431665,-0.651105845930075,0.651105845930075,-0.6368392705917358,0.6368392705917358,0.705332903871414,-0.705332903871414,3,1.0,0
22.14,17.551490171325252,-6.629372666616538,-0.6479058513660186,0.6479058513660186,-0.6336392760276794,0.6336392760276794,0.705332903871414,-0.705332903871414,3,1.0,0
22.16,17.418898568269725,-6.627962525162395,-0.6447058568019622,0.6447058568019622,-0.630439281463623,0.630439281463623,0.705332903871414,-0.705332903871414,3,1.0,0
22.18,17.286335062399054,-6.626562000752319,-0.6415058622379058,0.6415058622379058,-0.6272392868995667,0.6272392868995667,0.705332903871414,-0.705332903871414,3,1.0,0
22.2,17.153799461589717,-6.625171071539449,-0.6383058676738494,0.6383058676738494,-0.6240392923355103,0.6240392923355103,0.705332903871414,-0.705332903871414,3,1.0,0
22.22,17.02129157415314,-6.6237897158577335,-0.635105873109793,0.635105873109793,-0.6208392977714539,0.6208392977714539,0.705332903871414,-0.705332903871414,3,1.0,0
22.240000000000002,16.88881120883211,-6.622417912221165,-0.6319058785457367,0.6319058785457367,-0.6176393032073975,0.6176393032073975,0.705332903871414,-0.705332903871414,3,1.0,0
22.26,16.75635817479719,-6.621055639323029,-0.6287058839816803,0.6287058839816803,-0.6144393086433411,0.6144393086433411,0.705332903871414,-0.705332903871414,3,1.0,0
22.28,16.623932281643103,-6.619702876035159,-0.6255058894176239,0.6255058894176239,-0.6112393140792847,0.6112393140792847,0.705332903871414,-0.705332903871414,3,1.0,0
22.3,16.491533339385217,-6.618359601407166,-0.6223058948535675,0.6223058948535675,-0.6080393195152283,0.6080393195152283,0.705332903871414,-0.705332903871414,3,1.0,0
22.32,16.359161158455958,-6.617025794665747,-0.6191059002895111,0.6191059002895111,-0.6048393249511719,0.6048393249511719,0.705332903871414,-0.705332903871414,3,1.0,0
22.34,16.22681554970129,-6.6157014352139365,-0.6159059057254547,0.6159059057254547,-0.6016393303871155,0.6016393303871155,0.705332903871414,-0.705332903871414,3,1.0,0
22.36,16.09449632437722,-6.614386502630382,-0.6127059111613983,0.6127059111613983,-0.5984393358230591,0.5984393358230591,0.705332903871414,-0.705332903871414,3,1.0,0
22.38,15.96220329414625,-6.61308097666865,-0.6095059165973419,0.6095059165973419,-0.5952393412590027,0.5952393412590027,0.705332903871414,-0.705332903871414,3,1.0,0
22.400000000000002,15.829936271073905,-6.611784837256481,-0.6063059220332855,0.6063059220332855,-0.5920393466949463,0.5920393466949463,0.705332903871414,-0.705332903871414,3,1.0,0
22.42,15.69769506762527,-6.610498064495048,-0.6031059274692291,0.6031059274692291,-0.5888393521308899,0.5888393521308899,0.705332903871414,-0.705332903871414,3,1.0,0
22.44,15.565479496661514,-6.609220638658362,-0.5999059329051727,0.5999059329051727,-0.5856393575668335,0.5856393575668335,0.705332903871414,-0.705332903871414,3,1.0,0
22.46,15.433289371436441,-6.607952540192489,-0.5967059383411163,0.5967059383411163,-0.5824393630027771,0.5824393630027771,0.705332903871414,-0.705332903871414,3,1.0,0
22.48,15.301124505593066,-6.6066937497148785,-0.5935059437770599,0.5935059437770599,-0.5792393684387207,0.5792393684387207,0.705332903871414,-0.705332903871414,3,1.0,0
22.5,15.168984713160182,-6.60544424801374,-0.5903059492130035,0.5903059492130035,-0.5760393738746643,0.5760393738746643,0.705332903871414,-0.705332903871414,3,1.0,0
22.52,15.03686980854896,-6.604204016047275,-0.5871059546489471,0.5871059546489471,-0.5728393793106079,0.5728393793106079,0.705332903871414,-0.705332903871414,3,1.0,0
22.54,14.904779606549555,-6.602973034943071,-0.5839059600848907,0.5839059600848907,-0.5696393847465515,0.5696393847465515,0.705332903871414,-0.705332903871414,3,1.0,0
22.56,14.77271392232772,-6.6017512859974,-0.5807059655208343,0.5807059655208343,-0.5664393901824951,0.5664393901824951,0.705332903871414,-0.705332903871414,3,1.0,0
