file,sha256,rows,balance_rows,motor_mode,end_reason,possible_capacity_cutoff,balance_elapsed_s,max_balance_gap_ms,measured_drift_peak_rad,tracking_within_2deg_percent,ramp_complete_s_after_engage,drift_at_ramp_rad,pre_ramp_peak_tracking_error_deg,pre_ramp_offset_at_peak_error_deg,post_ramp_peak_tracking_error_deg,post_ramp_offset_at_peak_error_deg,post_ramp_peak_s_after_engage
bal_20260412_170823.csv,9e9fe3df87629ea5b96d3d15f1c19c676452792e4e1341d6570e1ecb1f2133df,662,228,legacy/unspecified,unknown,False,4.54,24.0,8.88,68.42105263157895,,,,,,,
bal_20260412_171517.csv,3c69128bbf5a9b785bfadf0563b8cc7306cffffd43ca529d4dbeb6caeaeaf5b5,1780,1346,legacy/unspecified,unknown,False,26.903,23.0,12.43,95.98811292719168,2.68,0.0,,,,,
bal_20260412_172103.csv,aad63bed35934dd2e756c344dd1ab9479e39624396bc46d02947fa7dfea2c04e,2945,2511,legacy/unspecified,unknown,False,50.201,24.0,11.12,86.81800079649543,2.44,0.0,,,,,
bal_20260412_173405.csv,eb2d4fdb99c24542822acadb2125decd544dd180143fafb3909b80295eb14338,453,19,legacy/unspecified,unknown,False,2.816,2483.0,5.06,15.789473684210526,,,,,,,
bal_20260412_174731.csv,f312f0ebe6a1ec90915b4b7503430374032884426ffac20c6b536d931c6abac4,3000,2566,legacy/unspecified,unknown,True,51.575,296.0,11.84,93.80358534684333,2.34,0.0,,,,,
bal_20260412_175422.csv,4aa1820bf944ba6028da994ca1450a1fca4b4ace2762391de8de009ed799d62c,3000,2566,legacy/unspecified,unknown,True,51.298,23.0,12.94,90.95869056897895,4.94,0.0,,,,,
bal_20260412_180129.csv,b88fff632d45ee62f8fc66d05df305cd7edc967745021b2edccb21cfa34f29e7,1003,569,legacy/unspecified,unknown,False,11.361,23.0,8.13,31.10720562390158,2.141,0.0,,,,,
bal_20260412_180748.csv,3f074ca72c96df1b1f310b48274cbc8d0902815b9ff7455737626c1f44d523ce,3000,2566,legacy/unspecified,unknown,True,51.3,23.0,8.12,88.6983632112237,2.2,0.0,,,,,
bal_20260412_183346.csv,3d2e4cd62b755da94ab8c9b80c31aede1f39f358439295e92d2889212689c2d9,1252,818,legacy/unspecified,unknown,False,17.809,1501.0,7.83,87.28606356968216,5.061,0.0,,,,,
bal_20260412_183812.csv,88f0762e1d4edc4ff8b640f6cbb19ce879fad9ffe7d982788b5cc1c1c88f0d85,2494,2060,legacy/unspecified,unknown,False,44.044,2895.0,28.32,94.12621359223301,2.541,0.0,,,,,
bal_20260412_184543.csv,223cf84cb8f451c42e3fa41f09a82f49cd6852ff337860e3eacf2d5a974d6aad,2263,1829,legacy/unspecified,unknown,False,36.559,24.0,8.98,99.28922908693275,2.36,0.0,,,,,
bal_20260412_184913.csv,d34c1000096d6260330425bf5e7e2e300a1fc3eb333ea91342fa86c8f85874b9,1782,1348,legacy/unspecified,unknown,False,26.939,23.0,6.9,98.51632047477744,2.6,0.0,,,,,
bal_20260412_185218.csv,917c6c5ce42c96c74ac60fe8ebb4f60f5a7b4cb3aaf88db19af19cabed2baed1,2174,1740,legacy/unspecified,unknown,False,34.78,23.0,5.03,99.94252873563218,2.5,0.0,,,,,
bal_20260412_185728.csv,5f3362e1d9a1d2b8e2e09a4f092b1a17b9e826439502d02319429b28fbb80005,2806,2372,legacy/unspecified,unknown,False,47.512,124.0,5.84,95.82630691399663,2.459,0.0,,,,,
bal_20260412_190131.csv,4ccc11a0efaa583100897e6e637a4f2d724d196d662629977307062643d4ba4c,2106,1672,legacy/unspecified,unknown,False,33.42,24.0,6.84,96.94976076555024,3.66,0.0,,,,,
bal_20260412_191828.csv,4f6d7db0fdc0e41aa52019d796e39cf16b83d8628fd6e53ba849027a6c74db91,3000,2566,legacy/unspecified,unknown,True,51.3,23.0,9.78,89.71161340607951,3.82,0.0,,,,,
bal_20260412_193312.csv,e4c1f0da95b89411d989046a9f2a6d78f5a477801845b6de01ae7c4f8e43f87e,1380,946,legacy/unspecified,unknown,False,18.899,23.0,8.29,91.86046511627907,3.5,0.0,,,,,
bal_20260412_193809.csv,00ad3fca797e11dad94b446e3d5c2c5d837d8df61c428308bac1c20917b8ccb4,2884,2450,legacy/unspecified,unknown,False,48.98,23.0,7.9,98.0,3.1,0.0,,,,,
bal_20260412_194229.csv,afdee4b63feb4a3008a802f39249227fc1ec024318ef547f8e3dd02479cafebd,2225,1791,legacy/unspecified,unknown,False,35.799,24.0,60.39,88.7213847012842,4.74,0.0,,,,,
bal_20260412_194831.csv,3d9be0a1cad1a3b66795cc91d387ec94a57a4b664c214400abca986204ef4c0d,1601,1167,legacy/unspecified,unknown,False,23.319,23.0,12.42,81.91945158526136,3.101,0.0,,,,,
bal_20260412_200050.csv,614d7c86776303d76916be330f2455317984919d2f0ad55a448aae84e3d3eb51,1407,973,legacy/unspecified,unknown,False,19.44,23.0,13.47,73.17574511819116,3.1,4.48,,,,,
bal_20260412_202206.csv,9e0adcc5b0297259f68b696a335ce7c08f1cee3706fd80548c6023de1b677e3a,1437,1003,legacy/unspecified,unknown,False,20.04,23.0,11.97,70.48853439680957,2.761,-2.88,,,,,
bal_20260412_202543.csv,6cd1697e89524c8d41a2564a104fa32134db6f272eb07915edc933c29934db35,1351,917,legacy/unspecified,unknown,False,18.674,389.0,10.46,89.0948745910578,2.4,6.4,,,,,
bal_20260412_215957.csv,054c099fffc2b9666ac972db134c8416c95b9f069c4a91ca05615c9c1e8155e2,1457,1023,legacy/unspecified,unknown,False,20.441,23.0,11.9,95.40566959921799,0.902,0.49,,,,,
bal_20260412_220427.csv,e137065466baaae9dfb40bfb6bde35b95bc136c9997e90401f04837c47d15031,2864,2430,legacy/unspecified,unknown,False,49.778,1231.0,11.38,95.47325102880659,2.601,2.69,,,,,
